queue_id,legal_name,purpose,true_sector,annotator_note
244,"Gebäudemanagement Schleswig-Holstein, Anstalt des öffentlichen Rechts Zweigniederlassung Flensburg","(1) Die zum Stichtag am 30. Juni 1999 den Landesbauämtern, der Landesvermögens- und Bauabteilung der Oberfinanzdirektion Kiel sowie der Bauabteilung des Ministeriums für Finanzen und Energie obliegenden Aufgaben gehen am 01. Juli 1999 auf die Anstalt über, soweit sie diese Aufgaben nicht gemäß Absatz 6 als fremde Aufgaben des jeweiligen Rechtsträgers wahrnimmt. Die Anstalt hat insbesondere folgende Aufgaben: 1. Sie erfüllt sämtliche Bauaufgaben des Landes im Sinne des Satzes 1 und nach Maßgabe gesonderter Vereinbarungen auch die des Bundes. 2. Sie übernimmt die Bauplanungs-, Bauüberwachungs-, Bauherren-, Bauunterhaltungs- und damit verbundene Vergabeaufgaben für die Investitionsbank, soweit diese Leistungen Liegenschaften betreffen, die gemäß § 17 Abs. 2 Investitionsbankgesetz (IBG) vom 11. Dezember 1990 (GVOBl. Schl.-H. S. 609), zuletzt geändert durch Gesetz vom 21. Dezember 1998 (GVOBl. Schl.- H. S. 482) vom Land auf die Investitionsbank übertragen oder die von dieser errichtet oder erworben werden bzw. errichtet oder erworben worden sind, um sie dem Land zur Verfügung zu stellen. Nähere Einzelheiten werden vertraglich geregelt. Zudem kann die Anstalt Bauplanungs-, Bauüberwachungs-, Bauherren-, Bauunterhaltungs- und damit verbundene Vergabeaufgaben auch für sonstige Träger der öffentlichen Verwaltung wahrnehmen. 3. Sie nimmt die Interessen des Bundes und des Landes als Träger öffentlicher Belange im Sinne des § 4 des Baugesetzbuches bei Bauleitplanverfahren im Landesbereich wahr. 4. Sie übernimmt die baufachliche Prüfung des Landes bei der Gewährung von Zuwendungen gemäß § 44 der Landeshaushaltsordnung Schleswig-Holstein im Bereich des Bauwesens. Das Nähere regelt die Satzung. (2) Die Anstalt erfüllt, sofern vom Ministerium für Finanzen und Energie nichts Abweichendes bestimmt wird, sämtliche Bauaufgaben - mit Ausnahme der Bauherrenaufgabe - für 1. das Klinikum an der Christian-Albrechts-Universität zu Kiel, 2. das Klinikum an der Medizinischen Universität zu Lübeck, 3. die Stiftung Schleswig-Holsteinische Landesmuseen Schloß Gottorf, die der Anstalt die durch die Erfüllung der Bauaufgaben entstehenden Kosten zu erstatten haben. Die Erfüllung sämtlicher Bauaufgaben endet für die in Satz 1 Nr. 1 und 2 genannten Einrichtungen am 30. Juni 2004, es sei denn, zwischen der Anstalt und dem jeweiligen Klinikum wird eine entsprechende Vereinbarung über die Fortführung dieser Aufgaben geschlossen. Die Erledigung begonnener Maßnahmen ist davon nicht betroffen. (3) Die Anstalt erbringt, sofern im besonderen Einzelfall vom Ministerium für Finanzen und Energie nichts Abweichendes bestimmt wird, folgende Bewirtschaftungsleistungen für das Land mit Ausnahme der Hochschulen und der Justizvollzugsanstalten für die von diesem genutzten Gebäude: 1. Hausmeister-, Hausarbeiterund Haushandwerkertätigkeiten, 2. Reinigungsdienste, 3. Sicherheitsdienste, sofern diese nicht durch Vollzugsbeamte ausgeübt werden, 4. die Pflege der Außenanlagen, 5. Energiemanagement, 6. Ver- und Entsorgung, 7. Betriebsführung von technischen Anlagen, Wartung, Inspektion und Kleinreparaturen. Die Anstalt wird die Aufgaben nach Satz 1 für das Ministerium für Finanzen und Energie und die ihm nachgeordneten Behörden ab dem 01. Oktober 1999, für den Präsidenten des Schleswig-Holsteinischen Landtages ab dem 01. Januar 2000, für die Staatskanzlei sowie alle übrigen Ministerien und die ihnen nachgeordneten Behörden spätestens bis zum 31. Dezember 2000 wahrnehmen. Das Ministerium für Finanzen und Energie wird ermächtigt, durch Rechtsverordnung den Zeitpunkt des Übergangs der Aufgaben nach Satz 1 für die jeweiligen Ressortbereiche zu bestimmen, Einzelheiten regeln das Land und die Anstalt durch einen öffentlich-rechtlichen Rahmenbewirtschaftungsvertrag. Die Ministerien können der Anstalt auch die Wahrnehmung sonstiger Bewirtschaftungsaufgaben, insbesondere folgende Dienstleistungen übertragen: 1. Boten- und Pförtnerdienste, 2. Druckereidienste, 3. Registraturtätigkeiten, 4. Postverwaltungs- und Postabsendungsdienste, 5. Telefonvermittlungsdienste. Nach Maßgabe gesonderter Vereinbarungen kann die Anstalt die in Satz 1 und Satz 5 beschriebenen Tätigkeiten auch gegenüber sonstigen Trägern der öffentlichen Verwaltung wahrnehmen. (4) Unbeschadet der Absätze 1 bis 3 nimmt die Anstalt folgende Aufgaben wahr: 1. Sie koordiniert und deckt den Bedarf des Landes und nach Maß- gabe gesonderter Vereinbarungen auch den Bedarf sonstiger Träger der öffentlichen Verwaltung an Verwaltungsgebäuden und sonstigen Grundstücken und Gebäuden durch Anpachtung und Anmietung und anschließender mietweiser Überlassung zu marktüblichen Bedingungen. Diese Aufgabe kann sie auch durch Kauf oder den Neubau von Gebäuden für fremde Rechnung erfüllen. Soweit das Land Flächen nicht mehr benötigt, kann die Anstalt diese auch an Dritte vermieten oder verpachten. 2. Sie nimmt nach Maßgabe gesonderter Vereinbarungen für sämtliche Landesbehörden die für deren Geschäftsbetrieb notwendigen Beschaffungen im eigenen oder im fremden Namen vor. Dabei ist sicherzustellen, daß die Vergabe von Aufträgen grundsätzlich an die Vertragsbedingung zur Durchführung frauenfördernder Maßgaben gekoppelt wird. Diese Aufgabe kann sie nach Maßgabe gesonderter Vereinbarungen auch für sonstige Träger der öffentlichen Verwaltung ausüben. 3. Sie führt die in den Unfallverhütungsvorschriften vorgesehenen Prüfungen durch eigene Sachverständige durch, sofern diese dazu von der zuständigen Behörde ermächtigt worden sind. 4. Sie plant und führt das Land und nach Maßgabe gesonderter Vereinbarungen auch für sonstige Träger der öffentlichen Verwaltung die Sicherung und Sanierung kontaminierter Liegenschaften durch.",,
176,OSO Ochs Schmidhuber Objektentwicklung GmbH,"Entwicklung, Erwerb und Veräußerung von sämtlichen Objekten aus dem Bereich der Immobilien.",,
146,EMA GmbH,"Die Beratung und Begleitung bei digitalen Transformationsprozessen, die Visualisierung, das Marketing und der E- Commerce.",,
219,Regniet Human Resources Services GmbH,a) die Unterstützung von Unternehmen in den Bereichen Personal-Beratung und Personalentwicklung sowie für b) die Übernahme des Geschäftsbereichs Personal-Administration im Rahmen von Outsourcing-Aktivitäten in Unternehmen.,,
83,CIB GmbH,"Einkauf von Süßwaren, Veranstaltungen, Vertrieb von Tee, Schokolade und Kakao sowie Verkauf von alkoholischen und nichtalkoholischen Heiß- und Kaltgetränken, Backwaren, Süßigkeiten, Lebensmitteln und Getränken sowie Vermietung von beweglichen Gegenständen, je einschließlich aller damit im Zusammenhang stehenden Tätigkeiten.",,
174,Bochum-Gelsenkirchener Bahngesellschaft mit beschränkter Haftung,"Halten von Aktien an der Bochum- Gelsenkirchener Straßenbahnen Aktiengesellschaft (BOGESTRA) sowie die Leitung der vorgenannten Gesellschaft über einen Beherrschungsvertrag im Sinne des § 291 Abs. 1 Satz 1 Aktiengesetz. Die Gesellschaft ist verpflichtet, nach den Wirtschaftsgrundsätzen des § 109 GO NRW zu verfahren. Dabei ist die Gesellschaft so zu führen, dass der öffentliche Zweck nachhaltig erfüllt wird.",,
124,Retol GmbH,Import und Vertrieb von Handelswaren für den Bauhandwerkerbedarf,,
163,hs. Financial Products GmbH,"Die Unternehmensberatung von in- und ausländischen Gesellschaften im Finanzbereich (Schwerpunkt Asset Management), der Vertrieb von Anlageprodukten (z.B. Schuldverschreibungen, Fondszertifikaten, Speuialfondsmandaten, Indexzertifikaten), die Betreuung der deutschen Kundschaft ausländischer Investmentgesellschaften.",,
261,"""das WTS-Studentenreisebüro GmbH""","Veranstaltung und Vermittlung von Reisen aller Art, die Beschaffung und Vermittlung von Beförderungsausweisen, Reiseversicherungen und anderen Reiseunterlagen sowie der Handel mit Kultur- und Kunstgegenständen",,
101,Fliesen Höning Verwaltungs- und Beteiligungs-GmbH,"die Übernahme der Stellung der persönlich haftenden und zur Geschäftsführung berechtigten Gesellschafterin in der Fliesen Höning GmbH & Co., KG. mit dem Sitz in Billerbeck, deren Unternehmensgegenstand a) der Handel mit Fliesen, Steinzeug und Keramikprodukten, b) der Handel mit Pflegemitteln für Fliesen, Steinzeug und Keramikproduken, c) der Handel mit Material, Zuberhör und Werkzeug für die Verlegung und Verarbeitung von Fliesen, Steinzeug und Keramikprodukten, d) die Verlegung von Fliesen, Steinzeug und Keramikprodukten ist. Zur Erreichung dieses Zwecks ist die Gesellschaft zu allen Geschäften und Rechtshandlungen berechtigt, die mittelbar oder unmittelbar der Förderung des Gesellschaftszwecks dienen.",,
268,Toy Innovations GmbH,die Entwicklung und der Vertrieb von Spielwaren und Haustierartikeln.,,
202,Consult& SD UG (haftungsbeschränkt),"Consulting und Entrepreneurship, insbesondere auch die Strategieberatung im digitalen Bereich einschließlich des diesbezüglichen Produktverkaufs.",,
100,Westend Verlags- und Werbegesellschaft mbH,"Die Herausgabe und der Verlag von Zeitschriften, sonstigen Publikationen und elektronischen Medien sowie der Betrieb einer Agentur für Werbung und Verkaufsförderung und die Vornahme und Vermittlung gleichartiger oder ähnlicher Geschäfte und damit zusammenhängeder Leistungen.",,
21,Jürgen Lässig Verwaltungs-GmbH,"Gegenstand des Unternehmens ist ausschließlich die Übernahme der persönlichen Haftung und die Geschäftsführung der künftigen Kommanditgesellschaft unter der Firma: Jürgen Lässig GmbH & Co. Kommanditgesellschaft in Geilenkirchen, die den Handel mit Elektrowaren aller Art, die Durchführung von Elektroinstallationen und den Schaltschrankbau zum Gegenstand hat.",,
278,Independent Living - betrieblich unterstützte Kindertageseinrichtungen gemeinnützige GmbH,"Die Gesellschaft verfolgt ausschließlich und unmittelbar gemeinnützige Zwecke im Sinne des Abschnitts ""steuerbegünstigte Zwecke"" der Abgabenordnung (§§ 51 ff. AO) in der jeweils gültigen Fassung. Gegenstand der Gesellschaft ist die Gestaltung und Förderung von günstigen Entwicklungsbedingungen für Kinder, insbesondere durch die Wahrnehmung von Aufgaben auf dem Gebiet der Jugendhilfe, Erziehung und Bildung. Die Ziel der Gesellschaft sollen, abgestimmt auf die Bedürfnisse dieser Gruppen, erreicht werden durch - Schaffung, Betrieb und Unterhaltung von Kindertagesstätten und vergleichbaren Einrichtungen zur Tagsbetreuung von Kindern, - Entwicklung und Verbreitung der Gesellschaftsziele durch Publikationen, wissenschaftliche Veranstaltungen, in Lehrgängen und Kurssystemen sowie durch die Gestaltung wissenschaftlich fundierter Projekte.",,
185,UFT Verwaltung GmbH,"Erwerb und Verwaltung von Beteiligungen, sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei der Firma UFT Stanz- und Schmiedeteile GmbH & Co KG; Erwerb, Verwaltung, Vermietung und Verpachtung von Grundstücken, von Gebäuden, von Maschinen und Anlagen, von Betrieben und Beteiligungen.",,
86,Romachova GmbH,Übernahme der Rechtsstellung eines Komplementärs in der redsquare GmbH & Co. KG,,
269,SAMACO GmbH,"Beratung bezüglich und Vermittlung und/oder Erbringen von Dienstleistungen, die in einem Zusammenhang mit dem Tourismus und der Tourismusbranche stehen; weiter aktive Teilnahme an und Unterstützung von Entwicklungsprozessen in Regionen, die für den Tourismus erschlossen werden können. Hierbei kann die Gesellschaft weltweit tätig werden. Alle mit Erreichung dieses Zwecks zusammenhängenden Tätigkeiten sind vom Gegenstand des Unternehmens erfaßt, auch Kauf, Erschließung, Bebauung, Modernisierung, Verpachtung und Verkauf von Grundstücken und Immobilien.",,
48,"REIWA GmbH Heizungs-, Lüftungs- und Sanitäreinbau","Erstellen und Vertrieb von Heizungs-, Lüftungs- und Sanitäreinbau-Anlagen.",,
90,Hyalvomed UG (haftungsbeschränkt),"der Handel mit Hyaluron und Schönheitsprodukten, die Unterspritzung von Hyaluron in Hyalumed Instituten und angeschlossenen Praxen",,
133,Bella Vita III Verwaltungs GmbH,"Beteiligung an anderen Unternehmen, insbesondere Beteiligung als persönlich haftende Gesellschafterin an der Bella Vita III Donauwörth GmbH & Co. KG in Donauwörth, welche den Betrieb eines ökologischen Lebensmittelsgeschäfts zum Gesellschaftszweck hat.",,
115,Huperz Kran- und Bergedienst-GmbH,"Zweck der Gesellschaft ist die Ausführung von Schwertransporten, Kran- und Bergedienstleistungen sowie der Handel mit Baustoffen.",,
227,New Silk Road Network GmbH,"Die Verbindung von logistikbezogenen und anderen Unternehmen und ein Netzwerk zu formen, um deren Geschäfte zu fördern, einschließlich Eventmanagement.",,
1,Barkhoff & Co. GmbH,"Der Garten- und Landschaftsbau, der Baumschulbetrieb sowie der Groß- und Einzelhandel mit Pflanzen jeder Art und den damit in Verbindung stehenden Artikeln.",,
91,Pulver GmbH,"Entwicklung, Handel und Vertrieb von und mit nicht genehmigungspflichtigen Waren, insbesondere Sitzmöbeln, ebenso die Durchführung aller damit zusammenhängenden Geschäfte oder Handlungen, soweit sie zur Erreichung des Gesellschaftszweckes dienlich erscheinen oder die Unternehmung der Gesellschaft zu fördern geeignet sind.",,
96,UED-Dienstleistungs Aktiengesellschaft,"Die Vermittlung von deutscheuropäischen Konsumgütern, Touristik-, Finanz- und Telekommunikationsdienstleistungen.",,
296,IVAN Sports Europe GmbH,"Die Betreuung von Berufsfußballspielern, insbesondere koreanischer Nationalität, sowie die Vertretung der IVAN Sports Corp. in Europa.",,
12,Aegis Coating GmbH,Oberflächenbehandlung und der Korrosionsschutz,,
230,BGfD Bayreuther Gesellschaft für Datenschutz mbH,"Gegenstand geändert, nun: Gegenstand des Unternehmens ist - die Erbringung von Dienstleistungen für Unternehmen oder Dritte auf dem Gebiet des Datenschutzes, insb. die Beratung, die Durchführung von Schulungen, die Stellung eines externen Datenschutzbeauftragten; - die Erstellung und Publikation von Veröffentlichungen zum Thema Datenschutz; - die Informationsvermittlung zum Thema Datenschutz, insb. über ein webbasiertes Informationsportal.",,
207,IT Consulting Dadkhoo UG (haftungsbeschränkt),IT Beratung und Schulung und IT & Kommunikations-Service.,,
2,Pleistocene & Permafrost Stiftung gemeinnützige UG (haftungsbeschränkt),"Beschaffung von Mitteln, insbesondere Sammeln von Spenden oder auf andere Art zur Förderung von Wissenschaft und Forschung; des Naturschutzes und Landschaftspflege im Sinne des Bundesnaturschutzgesetzes und Naturschutzgesetze der Länder, des Umweltschutzes, des Küstenschutzes und des Hochwasserschutzes sowie des Tierschutzes.",,
93,E.A.S Culture & Consultant GmbH,"der Handel, die Beratung, die Organisation und Koordination von Aus- und Weiterbildung oder akademischen und kulturellen Austauschprogrammen, insbesondere im Bereich des Jugendaustauschs zwischen China und Europa insbesondere Klassenfahrten und Jugendcamps. Die Gesellschaft darf auch maßgeschneiderte Dienstleistungen für erwachsene Reisegruppen durchführen. Die Gesellschaft ist ferner tätig auf dem Gebiet der Vermittlung und Betreuung von Geschäftskontakten zwischen China und Europa, sowie dem Studentenaustausch und der Lehrerausbildung. Die Gesellschaft ist zudem tätig im Im- und Export, dem Vertrieb und Handel mit Lehrmittel sowie Im- und Export, Vertrieb und Handel von Waren aller Art und darf alle damit im Zusammenhang stehenden Nebengeschäfte erbringen. Gegenstand des Unternehmens sind auch Eventmanagement, Ausbildungsmanagement sowie der Betrieb einer Künstleragentur. Die Gesellschaft darf Geschäfte jeder Art durchführen, die dem Unternehmensgegenstand unmittelbar oder mittelbar dienen oder diesen ergänzen.",,
58,Laible Brandschutztechnik GmbH,"Vertrieb, Wartung und Instandsetzung von tragbaren und fahrbaren Löschsystemen. Wartung und Instandsetzung von stationären Löschanlagen. Erstellung von Brandschutzplänen- und Konzepten.",,
