id,purpose_de,purpose_en,gold_section,predicted_section,top3_sections,author_category,author_note
203,"Konzeption und Herstellung von audiovisuellen Präsentationen sowie Beratung, Schulung und Unterstützung von Organisationen und Unternehmen.","Design and manufacture of audiovisual presentations, as well as consulting, training and support for organisations and companies.",J (Information and Communication),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | J (Information and Communication) | R (Arts, Entertainment and Recreation)",,
179,"Betrieb einer Bauunternehmung sowie die Erstellung schlüsselfertiger Häuser als Generalunternehmer. Sie kann Zweigniederlassungen errichten, gleichartige oder verwandte Unternehmungen erwerben oder sich an ihnen beteiligen.","Operation of a construction company as well as the creation of turnkey houses as general contractor. It may establish branches, acquire similar or related undertakings or participate in them.",F (Construction),L (Real Estate Activities),"L (Real Estate Activities) | F (Construction) | M (Professional, Scientific and Technical Activities)",,
215,Aus- und Weiterbildung in technischen und kaufmännischen Berufen sowie die Erbringung von maschinenbaunahen Dienstleistungen einschließlich der gewerbsmäßigen Überlassung von Arbeitnehmern an Dritte. Die Gesellschaft kann sich auch an anderen Unternehmen beteiligen und die Geschäftsführung in anderen Unternehmen übernehmen,"Training and further training in technical and commercial occupations, as well as the provision of machine construction related services, including the commercial transfer of workers to third parties. The company can also participate in other companies and take over the management of other companies",P (Education),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | N (Administrative and Support Service Activities) | C (Manufacturing)",,
118,"An- und Verkauf von mobilen und stationären Anlagen, insbesondere Seecontainern und Kühlsattelaufliegern, die mit ""Controlled-Atmosphere (CA)-Technologie"" ausgestattet sind und von Maschinen, Geräten und Vorrichtungen aller Art für die Herstellung und den Erhalt einer ""kontrollierten Atmosphäre"" sowie alle Formen des Leasing, der Vermietung und des Mietkaufs dieser Wirtschaftsgüter; ferner ist Unternehmensgegenstand die Durchführung von Instandhaltungs- und Instandsetzungsarbeiten und anderer Serviceleistungen an den Gerätschaften, die Gegenstand von Leasing-, Miet- oder Mietkaufverträgen sind, selbst oder durch beauftragte Dritte.","Purchase and sale of mobile and stationary equipment, in particular sea containers and refrigerated semi-trailers equipped with ""Controlled Atmosphere (CA) technology"" and of machinery, equipment and equipment of all kinds for the production and maintenance of a ""controlled atmosphere"" as well as all forms of leasing the rental and hire purchase of such assets; In addition, the entity shall carry out maintenance and repair work and other services on equipment which are the subject of lease, lease or lease purchase contracts, itself or by contracted third parties.",G (Wholesale and Retail Trade),H (Transportation and Storage),H (Transportation and Storage) | C (Manufacturing) | J (Information and Communication),,
53,"Die Durchführung von Erd- und Abbrucharbeiten sowie die Unterhaltung von Containerdiensten, einschließlich des Einsammelns und Beförderns von Abfällen sowie der Straßen- und Tiefbau, Mauerer- und Betonbauerhandwerk.","The carrying out of earth and demolition work as well as the maintenance of container services, including the collection and transport of waste, road and civil engineering, masonry and concrete construction.",F (Construction),"E (Water Supply, Sewerage, Waste Management)","E (Water Supply, Sewerage, Waste Management) | N (Administrative and Support Service Activities) | F (Construction)",,
25,"Vermietung, Betreibung und die Verpachtung von gastronomischen- bzw. Freizeitbetrieben und der Erwerb der dafür erforderlichen Konzessionen, der Vertrieb und die Aufstellung von Automaten aller Art im In- und Ausland.","==References====External links==* Official website leisure activities and the purchase of the necessary concessions, the distribution and the installation of machines of all kinds at home and abroad.",I (Accommodation and Food Service Activities),C (Manufacturing),C (Manufacturing) | G (Wholesale and Retail Trade) | H (Transportation and Storage),,
12,Oberflächenbehandlung und der Korrosionsschutz,Surface treatment and corrosion protection,C (Manufacturing),"E (Water Supply, Sewerage, Waste Management)","E (Water Supply, Sewerage, Waste Management) | F (Construction) | B (Mining and Quarrying)",,
212,"Routing, Verwaltung und Portfolio Management für die IT Projekte der AFI Gruppe im Bereich Unternehmensmanagement und Kundenberatung im IT Bereich.","Routing, administration and portfolio management for the IT projects of the AFI Group in the area of corporate management and customer consulting in the IT sector.",J (Information and Communication),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | J (Information and Communication) | N (Administrative and Support Service Activities)",,
161,"Der Erwerb und die Verwaltung von Beteiligungen aller Art an anderen Unternehmen für eigene Rechnung, insbesondere die Ausübung der Funktion als persönlich haftende Gesellschafterin von Kommanditgesellschaften. Die Gesellschaft führt keine nach § 34 c Gewerbeordnung (Makler, Bauträger, Baubetreuer) genehmigungspflichtigen Geschäfte durch. Ebenso tätigt die Gesellschaft keine Bank- und Finanzierungsgeschäfte im Sinne des § 1 KWG.","The acquisition and management of holdings of all kinds in other companies for their own account, in particular the exercise of the function as a personally liable partner of limited liability companies. The company does not carry out any business subject to authorisation under § 34c of the Commercial Code (makler, builder, builder). Likewise, the company does not conduct banking and financing operations within the meaning of § 1 KWG.","M (Professional, Scientific and Technical Activities)",K (Financial and Insurance Activities),"K (Financial and Insurance Activities) | M (Professional, Scientific and Technical Activities) | O (Public Administration and Defence)",,
120,"Handel, Leasing und Vermietung von Fahrzeugen, Nutzfahrzeugen und Baumaschinen aller Art.","Trade, leasing and leasing of vehicles, commercial vehicles and construction machinery of all kinds.",G (Wholesale and Retail Trade),H (Transportation and Storage),H (Transportation and Storage) | G (Wholesale and Retail Trade) | C (Manufacturing),,
196,Gebäudereinigungen aller Art.,Cleaning of buildings of all kinds.,N (Administrative and Support Service Activities),F (Construction),"F (Construction) | L (Real Estate Activities) | E (Water Supply, Sewerage, Waste Management)",,
31,"Herstellung, Handel und Einbau von Fenstern, Türen, Treppen, Fußböden und anderen Holzelementen, Innausbau und Restauration.","Manufacture, trade and installation of windows, doors, stairs, floors and other wooden elements, interior construction and restoration.",C (Manufacturing),F (Construction),F (Construction) | C (Manufacturing) | L (Real Estate Activities),,
155,"Erbringung von Beratungsleistungen, von Lieferungen und Leistungen in der GUS sowie Zentralasien insbesondere auf folgenden Gebieten: secure ID Solutions / Documents (ePassport and Border Control); Secured Communication Solutions; eGovernment Solutions (Transport environment, eDocumentation, PKI Solutions und Data Security, eLearning etc.); Renewable Energy Systems (windenergy-power, photovoltaic); Water Management Solutions, IPTV und Webhosting Solutions; eHealth Solutions; Medical Equipment.","provision of consultancy services, supplies and services in the CIS and Central Asia in particular in the following areas: secure ID Solutions / Documents (ePassport and Border Control); Secured Communication Solutions; eGovernment Solutions (transport environment, eDocumentation, PKI Solutions and Data Security, eLearning etc.); Renewable Energy Systems (windenergy power, photovoltaic); Water Management Solutions, IPTV and Webhosting Solutions; eHealth Solutions; Medical equipment.",J (Information and Communication),N (Administrative and Support Service Activities),N (Administrative and Support Service Activities) | J (Information and Communication) | O (Public Administration and Defence),,
64,Betrieb eines Imbissgrills mit Restauration,Operation of a snack grill with restoration,I (Accommodation and Food Service Activities),F (Construction),F (Construction) | L (Real Estate Activities) | C (Manufacturing),,
124,Import und Vertrieb von Handelswaren für den Bauhandwerkerbedarf,Import and distribution of trade goods for the construction industry,G (Wholesale and Retail Trade),H (Transportation and Storage),H (Transportation and Storage) | G (Wholesale and Retail Trade) | C (Manufacturing),,
217,"Vermittlung von Geschäften über die Anschaffung und die Veräußerung von Finanzinstrumenten (Anlagevermittlung); Abgabe von persönlichen Empfehlungen an Kunden oder deren Vertreter, die sich auf Geschäfte mit bestimmten Finanzinstrumenten beziehen, sofern die Empfehlung auf eine Prüfung der persönlichen Umstände des Anlegers gestützt oder als für ihn geeignet dargestellt wird und nicht ausschließlich über lnformationsverbreitungskanäle oder für die Öffentlichkeit bekannt gegeben wird (Anlageberatung); Anschaffung und die Veräußerung von Finanzinstrumenten im fremden Namen für fremde Rechnung (Abschlussvermittlung); Platzieren von Finanzinstrumenten ohne feste Übernahmeverpflichtung (Platzierungsgeschäft); Abschluss von Verträgen über den Erwerb von Anteilscheinen einer Kapitalanlagegesellschaft oder lnvestmentaktiengesellschaft, von ausländischen lnvestmentanteilen, die im Geltungsbereich des lnvestmentgesetzes öffentlich vertrieben werden dürfen, von sonstigen öffentlich angebotenen Vermögensanlagen, die für gemeinsame Rechnung der Anleger verwaltet werden, oder von öffentlich angebotenen Anteilen an einer und von verbrieften Forderungen gegen eine Kapitalgesellschaft oder Kommanditgesellschaft; Beratung von Privatkunden, Banken, Versicherungen, Pensionsfonds/-kassen und sonstigen institutionellen Anlegern hinsichtlich Auswahl geeigneter Anlagen für die Vermögensverwaltung bzw. den Deckungsstock sowie allgemein Asset Management, strategische und taktische Asset Allokation; Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume oder Darlehen vermitteln oder die Gelegenheit zum Abschluss solcher Verträge nachweisen; Verwaltung des eigenen Vermögens inkl. der Beteiligung an fremden Unternehmen; Durchführen von Vermögensanalysen; Family Office Dienstleistungen; Versicherungsvermittlung als Mehrfachagent gemäß § 34d GewO; Vermittlung sonstiger Vermögensanlagen, wie z.B. Genussrechte und Beteiligungen am Ergebnis von Unternehmen gemäß § 34f Abs. 1 Nr. 3 GewO","mediation of transactions concerning the acquisition and sale of financial instruments (investment mediation); Provide personal recommendations to clients or their representatives relating to transactions with certain financial instruments where the recommendation is based on an examination of the investor's personal circumstances or is presented as suitable for it and is not published exclusively through information dissemination channels or to the public (investment advice); acquisition and sale of financial instruments on behalf of third parties for third parties (final placement); placement of financial instruments without a firm commitment to take over (positioning business); Contracts for the acquisition of shares in an investment company or investment stock company, foreign investment shares which may be sold to the public in the scope of the investment law, other investments offered to the public managed for the common account of investors, or by publicly offered shares in one or more of the securitised claims against a capital company or limited liability company; Advising private customers, banks, insurance companies, pension funds and other institutional investors on the selection of suitable investments for asset management or asset management. the level of coverage as well as asset management, strategic and tactical asset allocation in general; provide or demonstrate the opportunity to enter into such contracts for contracts relating to land, land-related rights, commercial premises, dwellings or loans; Administration of own assets incl. participation in foreign enterprises; carrying out asset analyses; Family Office services; insurance mediation as a multiple agent pursuant to § 34d GewO; Placement of other assets, such as: Profit rights and participations in the result of companies pursuant to § 34f para. 1 No 3 w/w",K (Financial and Insurance Activities),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | K (Financial and Insurance Activities) | J (Information and Communication)",,
49,Erzeugung von Bioenergie in Rudelsdorf sowie alle damit in Zusammenhang stehende Betätigungen,Production of bioenergy in Rudelsdorf and all related activities,"D (Electricity, Gas, Steam and Air Conditioning Supply)",B (Mining and Quarrying),"B (Mining and Quarrying) | D (Electricity, Gas, Steam and Air Conditioning Supply) | C (Manufacturing)",,
225,"Gegenstand des Unternehmens ist nach der Erteilung dazu erforderlichen behördlichen Genehmigungen und Konzessionen das Betreiben von Internetplattformen für Messen, Events und andere Veranstaltungen, die Durchführung von Internet- und Messedienstleistungen aller Art sowie die beratende Tätigkeit auf den vorgenannten Gebieten. Darüber hinaus ist die Gesellschaft berechtigt, Geschäfte anderer Art zu tätigen, soweit ihr dies zur Erreichung des Gesellschaftszwecks dienlich erscheint und Zweigniederlassungen im In- und Ausland zu errichten.","The subject matter of the company is the operation of internet platforms for trade fairs, events and other events, the implementation of internet and trade fair services of all kinds and the advisory activities in the above-mentioned fields. In addition, the company is entitled to do business of a different kind, insofar as it considers this to be useful for the purpose of the company and to establish branches at home and abroad.",J (Information and Communication),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | J (Information and Communication) | N (Administrative and Support Service Activities)",,
191,"Erbringen von Beratungsdienstleistungen über alle wirtschaftlichen und technischen Aspekte der Immobilienanlage, Immobilienentwicklung und Immobilienfinanzierung sowie Entwicklung, Betreuung und Verwaltung von Immobilien sowie deren Vermarktung; alle mit dem Betrieb im Zusammenhang stehenden sonstigen Geschäfte.","providing consultancy services on all economic and technical aspects of real estate investment, real estate development and real estate financing, as well as development, support and management of real estate and its marketing; any other business related to the holding.","M (Professional, Scientific and Technical Activities)",N (Administrative and Support Service Activities),"N (Administrative and Support Service Activities) | M (Professional, Scientific and Technical Activities) | L (Real Estate Activities)",,
47,"Handel mit Biomasse, organischen Energieträgern, agrarnahen Rohprodukten; Consulting für Bioenergie und Entwicklung ganzheitlicher Lösungen zur Nutzung von Biomasse; Werkverkehr und Transporte/Güterkraftverkehr für Dritte.","trade in biomass, organic energy sources, agricultural raw products; consulting for bioenergy and development of holistic solutions for the use of biomass; Wholesale trade and transport/goods transport for third parties.",G (Wholesale and Retail Trade),"D (Electricity, Gas, Steam and Air Conditioning Supply)","D (Electricity, Gas, Steam and Air Conditioning Supply) | A (Agriculture, Forestry and Fishing) | C (Manufacturing)",,
11,Die Erstellung von Rohbauten (Hochbau).,The creation of structural structures (construction).,F (Construction),B (Mining and Quarrying),B (Mining and Quarrying) | L (Real Estate Activities) | F (Construction),,
228,"Gegenstand des Unternehmens ist die Ausführung von Forst- und Lohnarbeiten aller Art. Die Gesellschaft kann sich an anderen Unternehmen beteiligen, sie erwerben, vertreten und ihre Geschäfte führen. Die Gesellschaft darf auch Zweigniederlassungen errichten.","The object of the company is the execution of forestry and contract work of all kinds. The company may participate in, acquire, represent and conduct its business in other companies. The company may also establish branches.","A (Agriculture, Forestry and Fishing)","M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | C (Manufacturing) | N (Administrative and Support Service Activities)",,
172,"Die Verwaltung des der Gesellschaft zustehenden Vermögens, insbesondere der Beteiligung an der stahl + verbundbau gmbh mit Sitz in Dreieich.","The management of the assets to which the company belongs, in particular the participation in the steel + composite building GmbH with its registered office in Dreieich.",K (Financial and Insurance Activities),L (Real Estate Activities),L (Real Estate Activities) | K (Financial and Insurance Activities) | O (Public Administration and Defence),,
33,Der Vertrieb wissenschaftlicher Geräte und Laborbedarf.,The distribution of scientific equipment and laboratory requirements.,G (Wholesale and Retail Trade),J (Information and Communication),"J (Information and Communication) | C (Manufacturing) | M (Professional, Scientific and Technical Activities)",,
227,"Die Verbindung von logistikbezogenen und anderen Unternehmen und ein Netzwerk zu formen, um deren Geschäfte zu fördern, einschließlich Eventmanagement.","Form the connection of logistics-related and other companies and a network to promote their business, including event management.",N (Administrative and Support Service Activities),H (Transportation and Storage),"H (Transportation and Storage) | M (Professional, Scientific and Technical Activities) | N (Administrative and Support Service Activities)",,
23,"Betrieb einer Reparaturwerkstatt für Nutzfahrzeuge, insbesondere LKW, Kräne, Forst- und Landmaschinen. Die Gesellschaft übernimmt den Vertrieb und den Service von Forst- und Gartengeräten. Sie rüstet LKW mit Spezialaufbauten aus und vertreibt sie. Die Gesellschaft führt Stahlbau- und Zerspanungsarbeiten durch. Die Gesellschaft handelt mit Neu- und Gebraucht-PKW. Die Gesellschaft vermietet PKW und Kleintransporter.","Operation of a repair shop for commercial vehicles, especially trucks, cranes, forestry and agricultural machinery. The company is responsible for the distribution and service of forest and garden equipment. She equips trucks with special bodies and distributes them. The company carries out steel construction and machining work. The company deals with new and used PKW. The company rents cars and vans.",G (Wholesale and Retail Trade),C (Manufacturing),C (Manufacturing) | N (Administrative and Support Service Activities) | H (Transportation and Storage),,
38,"Erfassen und Sortieren von Wertstoffen und Recycling-Produkten sowie der Handel damit. Zur Erreichung dieses Zweckes ist die Gesellschaft zu allen Geschäften befugt, die - unmittelbar oder mittelbar - entweder dem Gesellschaftszweck zu dienen oder den Gegenstand des Unternehmens zu fördern geeignet sind. Die Gesellschaft darf andere Unternehmen im In- und Ausland übernehmen, vertreten und sich an solchen Unternehmen beteiligen. Sie darf auch Zweigniederlassungen errichten.","Collection and sorting of recyclables and recycled products as well as trade with them. In order to achieve this purpose, the Company shall have the power to conduct all transactions which, directly or indirectly, are capable of either serving the purpose of the Company or of promoting the object of the Company. The company may take over, represent and participate in other companies at home and abroad. It may also set up branches.","E (Water Supply, Sewerage, Waste Management)",C (Manufacturing),"C (Manufacturing) | M (Professional, Scientific and Technical Activities) | G (Wholesale and Retail Trade)",,
97,"Gegenstand des Unternehmens sind Montagen, Reparaturen, Kundendienst für für Industrietore aller Art, Handel mit Toren und Tor-Zubehörteilen, Handel mit Bedarfsartikeln und Baubeschlägen und artverwandte Artikel für den Metallbau und Schlosserei.","The company is engaged in assembly, repairs, after-sales service for industrial gates of all kinds, trade in gates and gate accessories, trade in supplies and hardware and related articles for metal construction and locksmithing.",F (Construction),N (Administrative and Support Service Activities),N (Administrative and Support Service Activities) | G (Wholesale and Retail Trade) | C (Manufacturing),,
56,"Recycling von Baustoffen durch Dritte, Allgemeine Logistik, Entsorgung für Baubetriebe, der Handel mit und die Vermietung von Baumaschinen, LKW und PKW; die Arbeitnehmerüberlassung (nicht befristet) nach den §§ 1 und 2 des Gesetzes zur Regelung der Arbeitnehmerüberlassung.","recycling of building materials by third parties, general logistics, disposal for construction companies, trade in and rental of construction machinery, trucks and cars; the transfer of employees (not temporary) in accordance with Sections 1 and 2 of the Law governing the transfer of employees.",N (Administrative and Support Service Activities),"E (Water Supply, Sewerage, Waste Management)","E (Water Supply, Sewerage, Waste Management) | H (Transportation and Storage) | F (Construction)",,
199,Verwaltung und Übernahme der persönlichen Haftung bei der Bauelemente Hagemeier GmbH & Co KG,Management and assumption of personal liability at Bauelemente Hagemeier GmbH & Co KG,"M (Professional, Scientific and Technical Activities)",L (Real Estate Activities),"L (Real Estate Activities) | M (Professional, Scientific and Technical Activities) | C (Manufacturing)",,
2,"Beschaffung von Mitteln, insbesondere Sammeln von Spenden oder auf andere Art zur Förderung von Wissenschaft und Forschung; des Naturschutzes und Landschaftspflege im Sinne des Bundesnaturschutzgesetzes und Naturschutzgesetze der Länder, des Umweltschutzes, des Küstenschutzes und des Hochwasserschutzes sowie des Tierschutzes.","the procurement of funds, in particular the collection of donations or other means of promoting science and research; nature conservation and landscape conservation in the sense of the Federal Nature Conservation Act and nature conservation laws of the Länder, environmental protection, coastal protection and flood protection as well as animal welfare.",S (Other Service Activities),"A (Agriculture, Forestry and Fishing)","A (Agriculture, Forestry and Fishing) | M (Professional, Scientific and Technical Activities) | O (Public Administration and Defence)",,
39,"Gegenstand des Unternehmens ist die Planung, Herstellung und Vertrieb von Transportsystemen für eigene und fremde Rechnung, insbesondere Anlagen- und Rohrleitungssystemen aus Werkstoffen aller Art, für flüssige, gasförmige und feste Stoffe. Eingeschlossen sind Arbeiten für die dazu erforderlichen Mess-, Regel- und Steuerungstechniken. Gegenstand des Unternehmens ist ferner die Vermietung/Verpachtung von Grundstücken und beweglichen Anlagegütern.","The company's object is the planning, production and distribution of transport systems for own and external account, in particular plant and pipeline systems made of materials of all kinds, for liquid, gaseous and solid materials. Works for the necessary measurement, control and control techniques are included. The company is also concerned with the rental/loaning of land and movable fixed assets.",C (Manufacturing),H (Transportation and Storage),"H (Transportation and Storage) | C (Manufacturing) | D (Electricity, Gas, Steam and Air Conditioning Supply)",,
45,Gegenstand des Unternehmens ist die Montage von Anlagen zur Erzeugung regenerativer Energie.,The company is engaged in the assembly of plants for the production of renewable energy.,F (Construction),"D (Electricity, Gas, Steam and Air Conditioning Supply)","D (Electricity, Gas, Steam and Air Conditioning Supply) | F (Construction) | C (Manufacturing)",,
246,"Bauplanung und Bauüberwachung, jeweils unter Ausschluß handwerklicher Tätigkeiten und solcher, die einer besonderen staatlichen Genehmigung bedürfen.","Construction planning and supervision, with the exception of craft activities and those requiring special state approval.","M (Professional, Scientific and Technical Activities)",N (Administrative and Support Service Activities),N (Administrative and Support Service Activities) | O (Public Administration and Defence) | F (Construction),,
7,Die Durchführung von Bodenbelagsarbeiten.,The execution of floor covering work.,F (Construction),B (Mining and Quarrying),B (Mining and Quarrying) | F (Construction) | N (Administrative and Support Service Activities),,
201,"Veranstaltung von Fortbildungen, Seminaren und Networking- Veranstaltungen sowie Consulting von Unternehmen (Unternehmensberatung).","Event of training courses, seminars and networking events as well as consulting of companies (company consulting).",P (Education),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | P (Education) | N (Administrative and Support Service Activities)",,
195,"ist der Handel mit Häusern und Grundstücken sowie die Herstellung, Sanierung und Vertrieb von Häusern und Wohnungen sowie Industriebau. Die Gesellschaft ist zu allen Geschäften und Maßnahmen berechtigt, die zur Erreichung des Geschäftszwecks notwendig oder nützlich erscheinen. Die Gesellschaft ist berechtigt, gleiche oder ähnliche Unternehmen zu erwerben, sich an solchen zu beteiligen oder deren Vertretung zu übernehmen oder/und weitere Zweigniederlassungen zu gründen.","is the trade in houses and plots as well as the production, renovation and distribution of houses and flats as well as industrial construction. The Company is entitled to all transactions and measures that appear necessary or useful to achieve the business purpose. The company is entitled to acquire, participate in, or represent the same or similar undertakings or/or to set up other branches.",F (Construction),C (Manufacturing),C (Manufacturing) | L (Real Estate Activities) | G (Wholesale and Retail Trade),,
4,Garten- und Landschaftsbau,Gardening and landscaping,N (Administrative and Support Service Activities),"A (Agriculture, Forestry and Fishing)","A (Agriculture, Forestry and Fishing) | L (Real Estate Activities) | N (Administrative and Support Service Activities)",,
44,"die Entwicklung, die Herstellung und die Vermarktung von industriellen thermodynamischen Lösungen, insbesondere Wärmepumpen, und alle verwandten Geschäftszwecke.","the development, production and marketing of industrial thermodynamic solutions, in particular heat pumps, and all related business purposes.",C (Manufacturing),"D (Electricity, Gas, Steam and Air Conditioning Supply)","D (Electricity, Gas, Steam and Air Conditioning Supply) | C (Manufacturing) | F (Construction)",,
26,"Gegenstand des Unternehmens ist die Entwicklung, Konzeption und Produktion von Anlagen und Geräten für die Energieund Wassertechnik. Die Gesellschaft darf alle Maßnahmen treffen, die geeignet sind, den Gesellschaftszweck zu fördern. Die Gesellschaft kann sich an anderen Unternehmen, die demselben Zweck dienen oder einen verwandten oder ergänzenden Geschäftszweig führen, beteiligen oder solche Unternehmen erwerben oder kann als Vertreter solcher Unternehmen tätig werden. Die Gesellschaft ist berechtigt, sich an Personengesellschaften als unbeschränkt persönlich haftende Gesellschafterin zu beteiligen, deren Geschäftszweck gegenstandsgleich oder ähnlich ist. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu errichten.","The aim of the company is the development, conception and production of plants and equipment for energy and water technology. The company may take all measures which are appropriate to promote the purpose of the company. The company may participate in or acquire or may act as a representative of other undertakings which serve the same purpose or have a related or complementary business. The company is entitled to participate in partnerships as an unlimitedly personally liable partner whose business purpose is identical or similar. The company is entitled to establish branches.",C (Manufacturing),"M (Professional, Scientific and Technical Activities)","M (Professional, Scientific and Technical Activities) | C (Manufacturing) | O (Public Administration and Defence)",,
