id,legal_name,purpose,text_length,true_sector,predicted_sector,top3,score_top1,margin_top1_top2,auto_flags,manual_category,manual_note
39,Jeschke Gas-Wasser-Technologien GmbH,"Gegenstand des Unternehmens ist die Planung, Herstellung und Vertrieb von Transportsystemen für eigene und fremde Rechnung, insbesondere Anlagen- und Rohrleitungssystemen aus Werkstoffen aller Art, für flüssige, gasförmige und feste Stoffe. Eingeschlossen sind Arbeiten für die dazu erforderlichen Mess-, Regel- und Steuerungstechniken. Gegenstand des Unternehmens ist ferner die Vermietung/Verpachtung von Grundstücken und beweglichen Anlagegütern.",449,C,H,H|C|D,0.6098,0.0042,low_margin|recoverable_in_top3,seed_leakage,
43,Bella Sicilia UG (haftungsbeschränkt),Gastronomiebetrieb.,19,I,D,D|B|C,0.4661,0.0692,short_text|outside_top3,,
44,SPH Sustainable Process Heat GmbH,"die Entwicklung, die Herstellung und die Vermarktung von industriellen thermodynamischen Lösungen, insbesondere Wärmepumpen, und alle verwandten Geschäftszwecke.",161,C,D,D|C|F,0.5400,0.0607,recoverable_in_top3,taxonomy_granularity,
45,SPR Montage GmbH,Gegenstand des Unternehmens ist die Montage von Anlagen zur Erzeugung regenerativer Energie.,92,F,D,D|F|C,0.4445,0.0018,low_margin|recoverable_in_top3,taxonomy_granularity,
46,Umwelttechniken A-G-Z Südwest GmbH,"Gegenstand des Unternehmens ist die Ausrüstung und Umrüstung von Kraftfahrzeugen auf Gasbetrieb, die Instandsetzung und Wartung von Gasanlagen im Camping- und Fahrzeugbereich, der Handel von Industrieanlagen und Kraftfahrzeugen und deren Reparatur, die Verarbeitung von Rohstoffen und der Handel mit Rohstoffen im Rahmen von nicht konzessionierten Warenarten.",359,G,D,D|C|B,0.5786,0.0284,outside_top3,,
47,Bioenergie und Logistik Sachsen GmbH,"Handel mit Biomasse, organischen Energieträgern, agrarnahen Rohprodukten; Consulting für Bioenergie und Entwicklung ganzheitlicher Lösungen zur Nutzung von Biomasse; Werkverkehr und Transporte/Güterkraftverkehr für Dritte.",222,G,D,D|A|C,0.5011,0.0175,low_margin|outside_top3,taxonomy_granularity,
49,Rudelsdorfer Bioenergie GmbH,Erzeugung von Bioenergie in Rudelsdorf sowie alle damit in Zusammenhang stehende Betätigungen,93,D,B,B|D|C,0.4246,0.0247,recoverable_in_top3,seed_leakage,
50,TECHNIKPLAN Ingenieurgesellschaft mbH,"Planung, Projektleitung und Projektsteuerung, Bauüberwachung von gebäudetechnischen Gewerken wie Heizung, Lüftung, Klima, Kälte, Sanitär, Feuerlöschanlagen, Großküchen, Brandschutz, Starkstrom, Schwachstrom, Fernmelde- und Datentechnik, Beleuchtung, Tageslichttechnik, Hoch- und Mittelspannung, Leistungen zu Betrieb und Instandhaltung von Gebäuden und Anlagen, wie Facility Management, Energiemanagement, Contracting, sowie sämtliche dabei anfallende Aufgaben im weitesten Sinne.",480,M,F,F|N|J,0.7467,0.0774,outside_top3,,
51,MultiCon GmbH,Der Aufbau und Betrieb eines Emissionshauses für die Entwicklung von geschlossenen Fonds in der Rechtsform einer GmbH & Co. KG.,127,K,F,F|K|D,0.4060,0.0071,low_margin|crowded_top3|recoverable_in_top3,,
52,Elektro Wiesmann UG (haftungsbeschränkt),Erbringung von Elektroinstallationsarbeiten und der Handel mit Elektroartikeln.,79,F,D,D|C|F,0.5483,0.0243,recoverable_in_top3,seed_leakage,'Elektroinstallation' still leaking to Energy despite removing Heizung/Klimaanlage from D
53,"CONTA 2000 GmbH Containerdienst-, Erd- und Abbrucharbeiten","Die Durchführung von Erd- und Abbrucharbeiten sowie die Unterhaltung von Containerdiensten, einschließlich des Einsammelns und Beförderns von Abfällen sowie der Straßen- und Tiefbau, Mauerer- und Betonbauerhandwerk.",215,F,E,E|N|F,0.7697,0.1337,recoverable_in_top3,multi_sector_company,
55,Norbert Schmitz GmbH Gas-. Wasser- Sanitärinstallation,die Installation und Reparatur von Gas-. Wasser- und Sanitäranlagen aller Art sowie sämtliche damit zusammenhängenden Geschäfte,127,F,E,E|F|D,0.6471,0.0247,recoverable_in_top3,,
56,ALE GmbH,"Recycling von Baustoffen durch Dritte, Allgemeine Logistik, Entsorgung für Baubetriebe, der Handel mit und die Vermietung von Baumaschinen, LKW und PKW; die Arbeitnehmerüberlassung (nicht befristet) nach den §§ 1 und 2 des Gesetzes zur Regelung der Arbeitnehmerüberlassung.",273,N,E,E|H|F,0.6109,0.0616,outside_top3,multi_sector_company,
58,Laible Brandschutztechnik GmbH,"Vertrieb, Wartung und Instandsetzung von tragbaren und fahrbaren Löschsystemen. Wartung und Instandsetzung von stationären Löschanlagen. Erstellung von Brandschutzplänen- und Konzepten.",185,F,E,E|F|D,0.5729,0.0076,low_margin|recoverable_in_top3,,
59,DEHÖMA Fuhrbetrieb und Containerdienst GmbH,"Der Betrieb eines Containerdienstes, die Baumaschinenvermietung, der Güternahverkehr, Erdbau und Abrissarbeiten..",113,E,H,H|E|C,0.7336,0.0574,recoverable_in_top3,multi_sector_company,
60,RRS Rhein Ruhr Service GmbH,"Facilitymanagement, Gebäudemanagement und Gebäudereinigung.",59,N,F,F|N|L,0.6145,0.0078,low_margin|recoverable_in_top3,,
64,Istanbul in Angermünde UG (haftungsbeschränkt),Betrieb eines Imbissgrills mit Restauration,43,I,F,F|L|C,0.3331,0.1016,short_text|outside_top3,ambiguous_sector_definition,"'Restauration' is lexically ambiguous: catering, or restoration work"
71,officium design engineering GmbH,"Die Erstellung von Generalplanungsleistungen, insbesondere für Seiltragwerke, z.B. für Zoogehege und Bauwerke sowie für Messestände und Designerprodukte.",153,M,F,F|N|S,0.5587,0.0588,outside_top3,,
80,Bodenbeläge Gessner GmbH,Gegenstand des Unternehmens ist der Verkauf und das Verlegen von Bodenbelägen aller Art sowie das Verlegen und die Reparatur von Estrichen.,139,F,G,G|C|S,0.5059,0.0369,outside_top3,,
84,MIWA Getränkevertriebs GmbH,Groß- und Einzelhandel mit Getränken aller Art.,47,G,I,I|G|R,0.5215,0.0171,short_text|low_margin|recoverable_in_top3,,
87,ROSENSTRASSE 35 Beteiligungsgesellschaft mbH,"Gegenstand des Unternehmens ist, Beteiligungen an Industrie-, Handels- und Schiffahrtsunternehmen zu erwerben, zu verwalten oder zu verwerten und alle hiermit zusammenhängenden Geschäfte vorzunehmen.",199,K,G,G|K|C,0.5465,0.0124,low_margin|crowded_top3|boilerplate_shape|recoverable_in_top3,,
88,Mittermaier und Laumer GmbH,Vermietung und Verpachtung von Grundvermögen und damit im Zusammenhang stehenden Geschäfte.,91,L,M,M|G|K,0.4527,0.0203,crowded_top3|outside_top3,,
89,KUNZE Beteiligungs GmbH,"Die Übernahme, der Erwerb, das Halten und die Veräußerung von Beteiligungen an der im Handelsregister des Amtsgerichts Hamburg unter HRB 161915 eingetragenen Gesellschaft mit beschränkter Haftung unter der Firma Deutsche Hausverwaltung Plus GmbH mit dem Sitz in Hamburg.",270,K,L,L|H|G,0.2894,0.0210,crowded_top3|boilerplate_shape|outside_top3,,
90,Hyalvomed UG (haftungsbeschränkt),"der Handel mit Hyaluron und Schönheitsprodukten, die Unterspritzung von Hyaluron in Hyalumed Instituten und angeschlossenen Praxen",130,Q,S,S|G|Q,0.2588,0.0243,recoverable_in_top3,,
93,E.A.S Culture & Consultant GmbH,"der Handel, die Beratung, die Organisation und Koordination von Aus- und Weiterbildung oder akademischen und kulturellen Austauschprogrammen, insbesondere im Bereich des Jugendaustauschs zwischen China und Europa insbesondere Klassenfahrten und Jugendcamps. Die Gesellschaft darf auch maßgeschneiderte Dienstleistungen für erwachsene Reisegruppen durchführen. Die Gesellschaft ist ferner tätig auf dem Gebiet der Vermittlung und Betreuung von Geschäftskontakten zwischen China und Europa, sowie dem Studentenaustausch und der Lehrerausbildung. Die Gesellschaft ist zudem tätig im Im- und Export, dem Vertrieb und Handel mit Lehrmittel sowie Im- und Export, Vertrieb und Handel von Waren aller Art und darf alle damit im Zusammenhang stehenden Nebengeschäfte erbringen. Gegenstand des Unternehmens sind auch Eventmanagement, Ausbildungsmanagement sowie der Betrieb einer Künstleragentur. Die Gesellschaft darf Geschäfte jeder Art durchführen, die dem Unternehmensgegenstand unmittelbar oder mittelbar dienen oder diesen ergänzen.",1028,N,H,H|G|J,0.4685,0.0590,outside_top3,,
94,tomjot GmbH,die Vermarktung von Software sowie die Erbringung von Dienstleistungen rund um Vertrieb und Marketing,101,M,J,J|M|G,0.5468,0.0839,recoverable_in_top3,,
96,UED-Dienstleistungs Aktiengesellschaft,"Die Vermittlung von deutscheuropäischen Konsumgütern, Touristik-, Finanz- und Telekommunikationsdienstleistungen.",113,G,H,H|I|G,0.4900,0.0318,recoverable_in_top3,,
97,Industrietor Montage-Service & Handels- GmbH,"Gegenstand des Unternehmens sind Montagen, Reparaturen, Kundendienst für für Industrietore aller Art, Handel mit Toren und Tor-Zubehörteilen, Handel mit Bedarfsartikeln und Baubeschlägen und artverwandte Artikel für den Metallbau und Schlosserei.",246,F,N,N|G|C,0.5807,0.0048,low_margin|crowded_top3|outside_top3,ambiguous_sector_definition,
104,Roeser Medical GmbH,"Der Verkauf von Medizinprodukten des medizinisch-technischen Bedarfs an Krankenhäuser, Kliniken, Sanatorien, Arztpraxen, einzelne Privatkunden sowie andere Bedarfsträger medizintechnischer Güter zur Diagnostik und Therapie sowie die Vermietung von Medizinprodukten unter Einschluss von Leasingverträgen hierüber; Planung und Ausführung medizintechnischer Einrichtungen vorgenannter Bedarfsträger; technische Service Leistungen wie Montage, Wartung und Instandhaltung von Medizinprodukten für Diagnostik und Therapie.",516,G,Q,Q|G|J,0.5200,0.0227,recoverable_in_top3,,
107,Units UG (haftungsbeschränkt),Gegenstand des Unternehmens ist Erwachsenenbildung und kindliche Früherziehung und der Handel mit Antikmöbel.,109,P,G,G|M|P,0.3084,0.0099,low_margin|crowded_top3|recoverable_in_top3,,
109,LATHO UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist der Erwerb, das langfristige Halten und die Verwaltung von Beteiligungen jeglicher Art an Unternehmen unter Einschluss etwaiger zukünftiger Veräußerungen insbesondere aus dem Bereich der Softwarebranche sowie an Unternehmen, die derartige Beteiligungen selbst halten.",299,K,M,M|K|J,0.4766,0.0373,boilerplate_shape|recoverable_in_top3,,
110,COMKOPIE B Gesellschaft für Bürosysteme mbH,"Der Handel mit Bürosystemen, insbesondere mit digitalen Kopierern, die Erbringung der dazugehörigen Serviceleistungen sowie der Betrieb aller damit in unmittelbarem oder mittelbarem Zusammenhang stehenden Geschäften.",216,G,J,J|G|N,0.5613,0.0632,recoverable_in_top3,,
116,GuKe Welfare & Environmental GmbH,"Export deutscher Qualitätsprodukte für Umwelt und Kindersicherheit nach China, insbesondere Güter des gehobenen Lebensstandards.",128,G,H,H|G|C,0.3786,0.0647,recoverable_in_top3,,
117,SPV Spedition & Transport-Verwaltungs- GmbH,"Gegenstand des Unternehmens ist die Verwaltung von -Speditions--Nahu.Fernverkehrs- ,Schüttgut- Kühltransporte- Silotransporte- Zustell- und Containerdienst- Gesellschaften.",172,M,H,H|N|E,0.6373,0.0917,outside_top3,,
118,cargofresh technologies service gmbh,"An- und Verkauf von mobilen und stationären Anlagen, insbesondere Seecontainern und Kühlsattelaufliegern, die mit ""Controlled-Atmosphere (CA)-Technologie"" ausgestattet sind und von Maschinen, Geräten und Vorrichtungen aller Art für die Herstellung und den Erhalt einer ""kontrollierten Atmosphäre"" sowie alle Formen des Leasing, der Vermietung und des Mietkaufs dieser Wirtschaftsgüter; ferner ist Unternehmensgegenstand die Durchführung von Instandhaltungs- und Instandsetzungsarbeiten und anderer Serviceleistungen an den Gerätschaften, die Gegenstand von Leasing-, Miet- oder Mietkaufverträgen sind, selbst oder durch beauftragte Dritte.",639,G,H,H|C|J,0.5682,0.0045,low_margin|outside_top3,taxonomy_granularity,
120,Kornprobst GmbH,"Handel, Leasing und Vermietung von Fahrzeugen, Nutzfahrzeugen und Baumaschinen aller Art.",89,G,H,H|G|C,0.7276,0.0263,recoverable_in_top3,taxonomy_granularity,
121,FFIRE Parken GmbH,"Das Betreiben von Parkhäusern bzw. Parkplätzen, auch mit Tiefgaragenstellplätzen bzw. das Betreiben anderer Stellplatz-/Parkmöglichkeiten für Fahrzeuge aller Art.",162,H,N,N|I|F,0.5309,0.0646,outside_top3,,
122,Roland Sicherheitstechnik GmbH,Verkauf und Vermietung von sicherheitstechnischen Anlagen,57,G,O,O|G|H,0.4288,0.0111,low_margin|crowded_top3|recoverable_in_top3,seed_leakage,'sicherheitstechnische Anlagen' — Sicherheit pulled into Public administration and defence
124,Retol GmbH,Import und Vertrieb von Handelswaren für den Bauhandwerkerbedarf,64,G,H,H|G|C,0.5921,0.0788,recoverable_in_top3,seed_leakage,
132,Ottolina Deutschland GmbH,"Groß- und Einzelhandel von Kaffee und weiteren Lebensmitteln oder anderer Ware jeglicher Art, direktre und indirekter Betrieb von Bars und Restaurants jeglicher Art.",165,G,I,I|G|H,0.6096,0.0326,recoverable_in_top3,,
137,ELCO-GmbH Technik & Lifestyle,"ist der Im+Export, Groß+Einzelhandel mit Consumer Elektronik, TV, Video, HiFi, SAT, sonstige EDV-Hard+Software, Telekommunikationsartikel, Multimediaprodukte, Weißware, Henkelware, Sonnenbänke, Informationstechnik- Klein- Nebenbetrieb sowie weiterhin der Groß-, Einzel und Versandhandel mit sowie Im- und Export von elektrischen und elektronischen Geräten ohne ausgeprägten Schwerpunkt, Textilien, Bekleidung, Schuhe und Bekleidungszubehör, Sport und Reitsportartikel, Gold und Schmuckwaren jeglicher Art, sowie sonstige Fertigerzeugnisse. Ferner Eventmanagement sowie der Betrieb einer Eventhalle.",598,G,J,J|G|H,0.6921,0.1140,recoverable_in_top3,,
138,KUPS EDV-GmbH,"Gegenstand des Unternehmens ist der Handel mit Computern, Software und sonstigen Gegenständen sowie die Durchführung von Schulungskursen.",137,G,J,J|M|G,0.5535,0.0695,recoverable_in_top3,,
144,Radio-Kater Hermann Kater GmbH,"(1)der Handel mit Radio-, Fernseh-, Videound Phonogeräten sowie mit Elektro- Geräten aller Art. (2) Die Gesellschaft kann sich an anderen Unternehmen beteiligen, andere Unternehmen erwerben und Zweigniederlassungen im In- und Ausland errichten.",244,G,J,J|G|C,0.6560,0.0899,recoverable_in_top3,,
146,EMA GmbH,"Die Beratung und Begleitung bei digitalen Transformationsprozessen, die Visualisierung, das Marketing und der E- Commerce.",122,M,J,J|M|G,0.4973,0.0244,recoverable_in_top3,,
147,ELEKTROPLANUNG & LICHTTECHNIK Shtop Ingenieurgesellschaft mit beschränkter Haftung,"Planung und Vertrieb von technischen Anlagen innerhalb und außerhalb von Gebäuden, insbesondere in den Bereichen der Elektrotechnik und der Beleuchtungstechnik.",160,M,F,F|J|D,0.6143,0.0782,outside_top3,,
151,Edgar Bieley Nachrichten- und Netzwerktechnik GmbH,"Planung und Erstellung von Leitungsnetzen für Telefon-, Brandmelde-, Gegen- und Wechselsprechanlagen, Alarm- und Uhrenanlagen sowie Zustandsmeldungen, drahtgebundenen und LWL-Netzen für EDV- Anlagen einschließlich dazugehöriger Systeme und Komponenten.",252,F,J,J|D|F,0.4793,0.0004,low_margin|recoverable_in_top3,,
154,eduCare EDV-Systeme GmbH Computerfachhandel und Systembetreuung,"Handel mit EDV-Hard- und Software und Zubehör, Systemberatung, -schulung und - betreuung, Wartung von EDV - Anlagen.",116,G,J,J|M|N,0.5907,0.0258,outside_top3,multi_sector_company,
155,SWIS - GmbH,"Erbringung von Beratungsleistungen, von Lieferungen und Leistungen in der GUS sowie Zentralasien insbesondere auf folgenden Gebieten: secure ID Solutions / Documents (ePassport and Border Control); Secured Communication Solutions; eGovernment Solutions (Transport environment, eDocumentation, PKI Solutions und Data Security, eLearning etc.); Renewable Energy Systems (windenergy-power, photovoltaic); Water Management Solutions, IPTV und Webhosting Solutions; eHealth Solutions; Medical Equipment.",498,J,N,N|J|O,0.5378,0.0289,recoverable_in_top3,ambiguous_sector_definition,
158,Modulus Real Estate Verwaltungs GmbH,"Verwaltung eigenen Vermögens und die Beteiligung an anderen Unternehmen sowie die Übernahme der persönlichen Haftung und der Geschäftsftührung bei anderen Unternehmen, insbesondere bei Kommanditgesellschaften.",209,M,K,K|M|T,0.5827,0.0169,low_margin|boilerplate_shape|recoverable_in_top3,,
159,Double A Brands GmbH,"der Erwerb und die Verwaltung von Beteiligungen auf eigene Rechnung, die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, sowie die Verwaltung eigenen Vermögens. Genehmigungspflichtige Tätigkeiten werden nicht ausgeübt.",257,M,K,K|M|T,0.5288,0.1190,boilerplate_shape|recoverable_in_top3,,
161,EGH Verwaltungsgesellschaft mbH,"Der Erwerb und die Verwaltung von Beteiligungen aller Art an anderen Unternehmen für eigene Rechnung, insbesondere die Ausübung der Funktion als persönlich haftende Gesellschafterin von Kommanditgesellschaften. Die Gesellschaft führt keine nach § 34 c Gewerbeordnung (Makler, Bauträger, Baubetreuer) genehmigungspflichtigen Geschäfte durch. Ebenso tätigt die Gesellschaft keine Bank- und Finanzierungsgeschäfte im Sinne des § 1 KWG.",432,M,K,K|M|O,0.5398,0.0885,boilerplate_shape|recoverable_in_top3,ambiguous_sector_definition,"the K-vs-M shell convention, in one direction"
164,Gerhard Ragaller Betriebs- und Verwaltungs-GmbH,"Groß- und Einzelhandel mit Eisen-, Elektro und Haushaltswaren. Beteiligung als persönlich haftender Gesellschafter an bestehenden oder noch zu gründenden Unternehmungen und insbesondere die Übernahme der Verwaltung und Geschäftsführung in solchen Unternehmen. Ferner Erwerb, Geltendmachung und Verwertung von Forderungen aller Art.",331,G,M,M|K|C,0.6238,0.0333,boilerplate_shape|outside_top3,,
166,Das Team 300 Holding GmbH,Erwerb und Verwaltung eigenen Vermögens sowie Übernahme von Leitungsfunktionen als Dachgesellschaft im Rahmen eines Zusammenschlusses mehrerer selbständiger Unternehmen zur Wahrung gemeinsamer Interessen.,204,M,K,K|M|O,0.5597,0.0302,boilerplate_shape|recoverable_in_top3,,
172,Ingenieur-Beteiligungs GmbH,"Die Verwaltung des der Gesellschaft zustehenden Vermögens, insbesondere der Beteiligung an der stahl + verbundbau gmbh mit Sitz in Dreieich.",140,K,L,L|K|O,0.5540,0.0166,low_margin|crowded_top3|boilerplate_shape|recoverable_in_top3,seed_leakage,
173,China-Restaurant Gourmet Tempel Verwaltungs UG (haftungsbeschränkt),"der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Qiu UG (haftungsbeschränkt) & Co. KG mit dem Sitz in Viersen, deren Unternehmensgegenstand der Betrieb eines chinesischen Restaurants ist.",378,M,K,K|M|G,0.3578,0.0105,low_margin|boilerplate_shape|recoverable_in_top3,,
174,Bochum-Gelsenkirchener Bahngesellschaft mit beschränkter Haftung,"Halten von Aktien an der Bochum- Gelsenkirchener Straßenbahnen Aktiengesellschaft (BOGESTRA) sowie die Leitung der vorgenannten Gesellschaft über einen Beherrschungsvertrag im Sinne des § 291 Abs. 1 Satz 1 Aktiengesetz. Die Gesellschaft ist verpflichtet, nach den Wirtschaftsgrundsätzen des § 109 GO NRW zu verfahren. Dabei ist die Gesellschaft so zu führen, dass der öffentliche Zweck nachhaltig erfüllt wird.",410,K,O,O|K|L,0.4258,0.0141,low_margin|recoverable_in_top3,,
179,Bauunternehmung Heckötter GmbH,"Betrieb einer Bauunternehmung sowie die Erstellung schlüsselfertiger Häuser als Generalunternehmer. Sie kann Zweigniederlassungen errichten, gleichartige oder verwandte Unternehmungen erwerben oder sich an ihnen beteiligen.",223,F,L,L|F|M,0.5830,0.0144,low_margin|recoverable_in_top3,seed_leakage,
183,Inspiration GI GmbH,Die Verwaltung des eigenen Vermögens sowie der Ankauf und die Veräußerung von Grundbesitz.,90,L,K,K|L|M,0.5671,0.0203,recoverable_in_top3,,
189,TIM Immobilien Management GmbH,"ist die Verwaltung von fremdem und eigenem Immobilienvermögen. Daneben können auch artverwandte Geschäfte, sowie alle sonstigen Geschäfte betrieben werden ,die geeignet sind, dem Zweck des Unternehmens zu dienen oder diesen zu fördern. Die Gesellschaft kann gleichartige oder ähnliche Unternehmen gründen oder erwerben, sich an solchen beteiligen, deren Verwaltung oder Vertretung übernehmen und Zweigniederlassungen errichten.",427,L,M,M|K|N,0.5826,0.0105,low_margin|outside_top3,,
